query_id,original_query,used_segment_ids,article
42,김동욱 의원의 교통안전 문제 제기 내용을 기사로 작성해 달라.,"[null, null, null, null, null]","김동욱 의원, 개인형 이동장치 안전관리 강화 및 교통안전 조례 개정 촉구

서울특별시의회에서 김동욱 의원이 교통안전 문제와 관련해 개인형 이동장치의 안전관리 강화를 중심으로 한 조례 개정과 법률 제정을 촉구하는 목소리를 냈다. 김 의원은 무면허 운전과 승차 정원 위반 등 개인형 이동장치 이용과 관련한 문제들이 지속적으로 발생하고 있어 근본적인 해결책 마련이 필요하다고 지적했다.

회의록에 따르면, 김 의원은 개인형 이동장치 대여업체에 대한 면허 확인 의무를 강화하고 위반 시 엄격한 조치를 할 수 있는 개선책을 마련할 것을 정부에 건의했다. 또한, 국회 차원에서 개인형 이동장치 산업 활성화와 국민 안전을 위해 관련 개별 법률을 조속히 제정할 필요가 있다고 강조했다. 이러한 제안은 최근 유명인들의 개인형 이동장치 음주운전 적발 사례와 대여 업체의 관리 소홀 문제를 반영한 것이다.

아울러 김 의원은 어린이 통학로 교통안전 강화와 자동차 급발진 사고 예방 등 다양한 교통안전 관련 조례 개정에도 찬성 의사를 표명하며, 서울시 내 교통안전 전반에 대한 관심을 드러냈다. 이와 함께, 장애인 이동권과 관련한 문제도 제기되어 휠체어 이용자의 횡단보도 이용 시 안전 확보의 중요성이 부각됐다.

향후 과제로는 개인형 이동장치 관련 법률 제정과 대여사업자 관리 강화, 그리고 어린이 및 장애인 교통안전 대책의 실효성 있는 시행이 꼽힌다. 김동욱 의원과 서울시의회는 시민 안전을 위한 제도 개선과 정책 추진에 지속적인 노력을 기울일 계획이다."
44,황철규 의원의 청년 정책 관련 논의를 정리해 달라.,"[null, null, null, null, null]","황철규 의원, 청년정책의 홍보와 연계성 강화 촉구

광주광역시 지방의회에서 황철규 의원을 비롯한 여러 의원들이 청년정책의 실효성과 홍보 부족 문제를 집중적으로 논의했다. 2023년 1월 17일 열린 청년정책조정위원회에서는 2022년도 청년정책에 대한 아쉬운 점으로 정책 간 연계성 부족과 홍보 미흡이 지적됐다. 이에 청년정책관 김동현은 통합정책플랫폼 구축과 생애주기별 사업 연계성 강화 방안을 연구 중임을 밝혔다.

황 의원은 청년정책이 수많은 예산과 사업으로 확대되고 있지만, 정작 청년들이 체감할 수 있도록 정책이 제대로 알려지지 않고 있다고 문제를 제기했다. 특히 운전면허증 지원 사업 등 일부 정책의 홍보가 부족해 청년들의 접근성이 떨어진다는 점을 강조했다. 이에 대해 집행부는 2023년에는 홍보 강화를 위해 통합플랫폼을 적극 활용하고, 광주전남연구원과 협력해 정책 연계성도 심층 검토할 계획임을 밝혔다.

또한, 청년정책관실은 광주청년드림수당 사업에 대해 1400명 지원에서 1500명으로 확대하는 추경 예산안을 준비 중이라고 보고했다. 이는 청년들의 경제적 어려움을 완화하기 위한 조치로, 향후 청년들의 취업과 창업 연계 성과에 대한 통계 자료도 제공할 예정이다. 의원들은 이러한 양적 확대와 함께 청년들의 실제 삶의 질 개선 여부에 대한 성찰과 통합적 로드맵 마련의 필요성을 강조했다.

마지막으로 지방소멸 문제와 관련해 청년 유출 방지 및 정주 여건 조성에 대한 논의도 이어졌다. 청년들이 지역에 머물 수 있도록 다양한 지원책 마련이 필요하다는 의견이 제기되었으며, 행정 측은 의원들의 지적을 적극 수렴해 정책에 반영하겠다는 입장을 밝혔다. 이번 논의를 통해 청년정책의 내실화와 실질적 효과 제고를 위한 지속적인 점검과 협력이 요구되고 있다."
46,아이수루 의원의 대중교통 서비스 개선 논의를 기사화해 달라.,"[null, null, null, null, null]","아이수루 의원, 대중교통 서비스 개선 위한 법률 개정 및 정책 논의 촉구

지방의회에서 아이수루 의원이 대중교통 서비스 개선을 위한 적극적인 논의를 제기했다. 아이 의원은 「대중교통의 육성 및 이용 촉진에 관한 법률」 일부개정법률 발의를 소개하며, 대중교통 이용 활성화를 위해 올해 7월부터 연말까지 대중교통비의 절반을 환급하는 제도를 도입하는 법적 근거 마련의 중요성을 강조했다. 이를 통해 국가와 지방자치단체가 이용자에게 직접 재정 지원을 할 수 있게 되어, 우리 시에서도 적극적인 검토와 실행이 필요하다는 입장을 밝혔다.

회의에서는 대중교통의 다양한 측면에 대한 논의도 이어졌다. 한편에서는 기존 지하철과 도로 중심의 대중교통 외에 수상택시 등 새로운 교통수단을 도입하는 시도가 소개되었으나, 이용객 수와 사업 주체에 대한 우려가 제기되었다. 특히, 한강 리버버스 사업에 대해 시민들의 실질적인 요구는 시내버스와 마을버스 증차 및 노후 차량 교체임을 지적하며, 운영 주체와 재정 운용의 적절성에 대한 질의가 있었다.

또한, 철도가 미치지 못하는 교통 사각지대에 대한 버스 노선 확충 필요성이 강조되었으나, 현행 버스총량제 등 제도적 한계로 인해 부정적 검토가 이어지고 있는 현실에 대한 문제 제기가 있었다. 이에 대해 집행부는 수요 조사를 통해 노선 신설 여부를 결정하겠다는 입장을 밝히면서도, 교통 균형발전과 교통 복지의 중요성에 대해 공감하는 모습을 보였다.

친환경 교통수단 확대와 관련해서도 논의가 이루어졌다. 신차 구입 위주의 고급 리무진 차량 도입 현황과 경유 차량 사용 문제에 대한 지적이 있었으며, 시장의 친환경 정책과 실제 구매 현황 간 괴리가 있다는 의견이 제기되었다. 이에 대해 도시교통실은 신차 위주로 구입하고 있으나 경유 차량이 포함되어 있음을 인정하고, 향후 정책과의 연계 방안을 모색하겠다고 답변했다.

마지막으로, 버스 요금 인상 문제와 재정 확보 방안에 대한 고민도 다뤄졌다. 세수 감소와 시민의 조세 저항 사이에서 균형 있는 대책 마련이 필요하다는 지적과 함께, 버스 광고 수익 증대 및 스마트쉘터 등 민간투자 방식 도입 가능성에 대한 제안이 나왔다. 이러한 다각적인 논의를 바탕으로 대중교통 서비스의 질적 향상과 이용자 편의 증진을 위한 정책 추진이 요구되고 있다."
48,박강산 의원의 젠트리피케이션 문제 제기를 기사로 작성해 달라.,"[null, null, null, null, null]","박강산 의원, 젠트리피케이션 문제 해결 촉구하며 내실 있는 정책 운영 강조

박강산 서울시의회 의원이 최근 회의에서 젠트리피케이션 문제에 대해 깊은 우려를 표하며, 실질적이고 내실 있는 정책 운영을 당부했다. 박 의원은 교육감 조희연과의 대화에서 정책 과정에 다양한 의견을 수렴하고, 비판적인 시각도 적극 반영하는 노력이 필요하다고 강조했다.

회의에서 박 의원은 조희연 교육감이 최근 칼럼에서 제시한 ‘역지사지형 토론’의 중요성을 언급하며, 현실 정치에서 선악 이분법을 넘어서는 사고가 젠트리피케이션 문제 해결에도 필요하다고 밝혔다. 이에 조 교육감은 민주화 시대와 달리 현재 사회가 복잡한 갈등 구조를 가지고 있음을 인정하며, 다양한 입장을 수용하는 민주적 접근의 중요성을 재확인했다.

한편, 박 의원은 정책의 내실화를 위해 보여주기식 행정이 아닌 실질적인 변화가 이어져야 한다고 지적했다. 그는 “뜻깊은 기획 시도라고 생각하지만, 결과가 이어지지 않으면 의미가 없다”며, 정책 추진 과정에서 지속적인 점검과 개선이 필요함을 강조했다.

이번 질의는 젠트리피케이션으로 인한 지역 주민들의 갈등과 불안을 해소하기 위한 서울시 차원의 적극적인 행정 대응을 촉구하는 맥락에서 이루어졌다. 박 의원의 문제 제기는 앞으로 서울시가 젠트리피케이션 문제에 대해 보다 체계적이고 효과적인 대책을 마련하는 데 중요한 계기가 될 전망이다."
50,황유정 의원의 학교 안전 문제 제기를 기사화해 달라.,"[null, null, null, null, null]","황유정 의원, 학교 내 교권 침해와 안전 문제 강력 제기

서울시의회에서 황유정 의원은 최근 학교 현장에서 발생하는 교권 침해와 학생 안전 문제에 대해 심각한 우려를 표명하며 근본적인 대책 마련을 촉구했다. 특히 충남 홍성의 한 중학교에서 수업 중 교사를 촬영하고 교실에서 부적절한 행동을 하는 학생들의 영상이 공개되면서 교사들의 권위가 크게 훼손되고 있다는 점을 지적했다.

황 의원은 2019년 개정된 ‘교원의 지위 향상 및 교육활동 보호를 위한 특별법’이 있음에도 불구하고, 최근 3년간 전국 17개 시도교육청이 이 법을 근거로 학생이나 학부모를 고발한 건수가 14건에 불과하며, 실제 교육활동 침해 건수는 6,100건에 달하는 현실을 문제 삼았다. 그는 미국, 영국 등 주요 선진국과 달리 우리나라는 교권 보호에 대한 별도의 기준과 실질적인 제도가 부족하다고 지적하며, 교사가 교육자로서 자부심과 권위를 회복할 수 있는 현실적인 장치가 마련되어야 한다고 강조했다.

이에 대해 조희연 교육감은 해당 사안이 매우 갈등이 치열한 문제임을 언급하며 신중한 접근이 필요하다는 입장을 보였다. 다만, 의원들의 공개 요구에 대해서는 “고민해 보겠다”고 답변해 구체적인 해결책 마련에 대한 의지를 내비쳤다. 한편, 다른 의원들도 학교 내 안전 문제와 교권 침해 사례에 대해 깊은 관심을 표하며, 교육청 차원의 적극적인 대응과 정책 반영을 요청했다.

향후 과제로는 교권 보호를 위한 법적·제도적 보완과 함께, 학교 내 안전 관리 체계 강화가 시급하다는 점이 부각되고 있다. 또한, 정규직과 비정규직 교원 모두를 아우르는 포괄적 대책 마련과 함께, 학생 및 학부모와의 갈등을 최소화할 수 있는 소통과 교육 시스템 구축도 중요한 과제로 제기되고 있다. 서울시의회는 이번 논의를 바탕으로 교육청에 구체적인 조치 계획 보고를 요구하며, 학교 현장의 신뢰 회복과 안전한 교육환경 조성을 위한 노력을 지속할 예정이다."
52,임규호 의원의 학생 안전·시설 개선 발언을 기사로 작성해 달라.,"[null, null, null, null, null]","임규호 의원, 학생 안전 및 교육시설 개선 촉구

서울시의회 임규호 의원이 최근 열린 교육청 회의에서 학생 안전 강화와 학교 시설 개선의 필요성을 강하게 제기했다. 임 의원은 특히 학교 내 화장실 불법촬영 예방 조례 일부개정안에 찬성 의사를 밝히며, 학생들이 쾌적하고 안전한 환경에서 학습할 수 있도록 지속적인 관심과 지원이 필요하다고 강조했다.

임 의원은 현장 점검과 학부모, 학교 운영위원장들의 의견을 토대로 도서관 개보수와 화장실 화변기 개선 등 학교 현안 해결 요구가 많음을 알렸다. 그는 미래 세대인 학생들의 교육 환경 개선이 어른들의 책임임을 강조하며, 일부 학교 관계자들의 무관심한 태도에 대해 우려를 표했다. 이에 대해 조희연 교육감에게는 공로연수나 명예퇴직 제도를 활용해 교육 현장의 비상식적 행태를 조기에 개선할 것을 건의했다.

또한 임 의원은 학생 안전망 구축 사업과 관련해, 등하굣길 교통안전도우미 사업의 확대 필요성을 언급했다. 현재 자치구에서 시행 중인 도우미 사업이 인력 부족으로 절반도 채워지지 못하는 상황을 지적하며, 교육청 차원의 적극적인 지원과 역할 확대를 주문했다. 이는 학생들의 안전을 사전에 확보하는 것이 중요하다는 인식에서 비롯된 요구다.

집행부 측에서는 일부 사업의 필요성을 인정하며, 예산 편성과 업무 조율에 대해 신중히 검토하겠다는 입장을 밝혔다. 다만, 예산 중복과 미편성 문제에 대해서는 상호 보완성을 고려해 합리적으로 조정할 필요가 있음을 언급했다. 앞으로도 학생 안전과 교육 환경 개선을 위한 지속적인 협의와 실행이 요구되고 있다.

임규호 의원의 발언은 학생 안전과 쾌적한 교육 환경 조성에 대한 지방의회의 관심을 다시 한번 환기시키는 계기가 되었다. 향후 교육청과 관련 부서가 실질적인 개선 방안을 마련해 학생들이 안전하고 편안한 학교 생활을 할 수 있도록 노력할지 주목된다."
53,서상열 의원의 기후 대응 정책 비판 내용을 정리해 달라.,"[null, null, null, null, null]","서상열 의원, 서울시 기후 대응 정책의 실효성 및 지속성 문제 지적

서울시의 기후 대응 정책과 관련해 서상열 의원은 최근 열린 시의회 회의에서 정책의 실효성과 지속 가능성에 대한 깊은 우려를 표명했다. 서 의원은 특히 기후환경본부 직원들의 잦은 이직 문제를 지적하며, 인력의 불안정성이 정책 추진의 연속성과 책임성에 부정적인 영향을 미치고 있다고 밝혔다. 그는 “기후환경본부 직원의 80%가 2년을 넘기지 못하는 상황에서 책임 있는 정책 집행이 어렵다”며, 현실을 반영하지 못한 목표 설정이 반복되는 문제를 짚었다.

또한 서 의원은 서울시가 설정한 기후 목표들이 공격적이지만 실현 가능성에 의문을 제기했다. 그는 정책 설계부터 실행, 평가에 이르는 과정에서 담당자가 달라 일관성이 결여되고, 이로 인해 정책의 효과적인 순환과 개선이 어렵다고 지적했다. 이에 대해 오세훈 시장은 녹지 확충, 건물 옥상 열 반사 칠, 도로 물 뿌리기 등 다양한 온도 저감 정책을 시행 중임을 설명했으나, 서 의원은 보다 근본적이고 획기적인 대책 마련이 필요하다고 강조했다.

서 의원은 특히 폭염에 취약한 고령자, 장애인, 저소득층 등 사회적 약자에 대한 맞춤형 대책이 부족하다고 지적하며, 기존의 관행적인 폭염 대책이 사각지대를 발생시킬 우려가 있다고 밝혔다. 그는 재해·재난 예측 시스템 구축과 선제적 조치의 중요성을 강조하며, 서울시가 온실가스 저감을 위한 획기적인 대책을 적극적으로 추진해야 한다고 촉구했다.

회의에서는 기후 위기에 대응하는 서울시의 정책 추진 체계와 사회적 약자 보호를 위한 예산 운용의 한계도 논의됐다. 서 의원은 예산이 한정된 상황에서 추가 사업이 계속 붙어 예산 운용에 어려움이 있다고 언급했으며, 이에 대해 집행부는 정책의 필요성을 인정하면서도 현실적인 제약을 고려해야 한다는 입장을 보였다.

끝으로 서 의원은 서울시의회가 탄소중립 실천에 솔선수범할 것을 제안하며, 디지털 문서 전환과 친환경 회의 방식 도입 등 의회 내에서도 탄소 배출 감축 노력이 필요하다고 강조했다. 그는 세 기관이 협력해 구체적인 탄소중립 로드맵을 수립하고 시민 참여를 유도하는 캠페인을 펼칠 것을 촉구하며, 지속 가능한 도시를 위한 공동의 목표 설정과 실천을 당부했다."
54,박강산 의원의 임대료 상승 문제 관련 발언을 기사화해 달라.,"[null, null, null, null, null]","박강산 의원, 공공임대주택 임대료 인상 문제 강도 높게 지적

서울시 지방의회에서 박강산 의원이 최근 공공임대주택 임대료 상승 문제와 관련해 집행부를 향한 날선 질의를 이어갔다. 박 의원은 임대료 인상이 임차인에게 과도한 부담으로 작용하고 있다고 지적하며, 임대료 인상과 관련한 집행부의 입장과 정책 방향에 대해 집중적으로 문제를 제기했다.

박 의원은 특히 임대료 감면을 받았음에도 불구하고 공공임대주택 임대료가 5% 인상된 점을 비판했다. 이에 대해 서울주택도시개발공사 관계자는 임대료 인상분이 주거복지 재원으로 활용되고 있다고 설명하며, 노후 공공임대주택의 수선유지비 증가와 주거복지 사업 추진을 위한 불가피한 조치임을 강조했다. 또한, 임대료 인상은 보증금 납부 유예 등 조치와 함께 단계적으로 시행되고 있다고 덧붙였다.

한편, 집행부는 임대료 산정 과정에서 감정평가가격이 공정가격으로 인정받고 있으나, 매입임대 정책의 구조적 문제점도 존재한다고 밝혔다. 이에 대해 박 의원은 감정평가사와 심의위원들의 역할에 대한 신뢰 문제를 제기하며, 제도 개선 필요성을 강조했다. 집행부는 관련 문제를 공개적으로 논의하고 기자설명회 등을 통해 투명성을 높이겠다는 계획을 밝혔다.

향후 과제로는 노후 공공임대주택의 리모델링 및 개발 계획이 미흡한 상황에서 임대료 인상에 따른 임차인 부담 완화 방안과 함께, 임대료 산정 및 인상 기준의 합리적 개선이 요구되고 있다. 박 의원의 질의는 공공임대주택 정책의 공정성과 지속가능성을 확보하기 위한 중요한 계기가 될 전망이다."
55,한신 의원의 문화예산 배분 문제 발언을 정리해 달라.,"[null, null, null, null, null]","한신 의원, 문화예산 배분 기준과 절차 문제 제기

지방의회 회의에서 한신 의원은 문화예산 배분 과정의 투명성과 기준 마련에 대해 문제를 제기했다. 특히 교향악단, 창극단, 발레단, 오페라단 등 각 문화예술 단체별로 예산 금액이 상이한 점에 대해 누가 결정하는지 질의하며, 대구시와의 교류 공연 관련 수입금액 차이로 인한 편차임을 확인했다. 이에 문화예술회관 측은 예산 수립 절차가 일반 예산과 동일하며, 최종 확정은 문화체육실이 아닌 예산실에서 이뤄진다고 답변했다.

한신 의원은 이러한 예산 편성 과정에서 명확한 기준과 기금 사용 지침이 마련되어 있지 않은 점을 지적하며, 관련 기준과 절차에 대한 서면 보고를 요청했다. 이는 각 단체별 예산이 개별적으로 책정되어 일관성이 부족하다는 우려에서 비롯된 것이다. 집행부는 이에 대해 추후 보고를 약속하며, 예산 편성의 투명성을 높이겠다는 입장을 밝혔다.

또한, 문화체육실과 예산실 간의 소통과 의회 보고 절차에 대한 문제도 논의됐다. 의원들은 행정 절차상 예산 편성 및 집행 과정에서 의회와의 충분한 공유가 이루어지지 않고 있다고 지적했다. 이에 문화체육실장은 앞으로 관련 절차를 철저히 준수하겠다고 답변하며, 예산 심사 과정에서 의회와의 협의를 강화할 의지를 내비쳤다.

이번 논의는 문화예산의 효율적이고 공정한 배분을 위해 명확한 기준 마련과 집행부와 의회 간 소통 강화가 필요함을 재확인하는 계기가 되었다. 향후 관련 기준과 절차에 대한 구체적인 보고와 개선 방안 마련이 기대된다."
57,이봉준 의원의 재정 효율성 문제 제기를 분석해 달라.,"[null, null, null, null, null]","이봉준 의원, 재정 효율성 문제 제기…의회사무처 인건비 비율 논란

지방의회에서 재정 효율성에 대한 문제 제기가 이어지고 있다. 특히 이봉준 의원은 의회사무처의 예산 집행과 인건비 비율에 대해 의문을 제기하며, 경영적 관점에서 효율성 분석이 필요하다고 강조했다.

회의에서 이 의원은 의회사무처의 전체 예산 99억 원 중 인건비 등 행정운영지원비가 61억 원으로 60%가 넘는 점을 지적했다. 일반 기업의 인건비 비율이 30%대인 점과 비교하며, 의회사무처의 높은 인건비 비율이 재정 운용의 효율성을 떨어뜨릴 수 있음을 우려했다. 이에 대해 의회사무처장은 의회 운영 특성상 인건비 비중이 높을 수밖에 없으며, 전국 모든 시의회가 유사한 구조임을 설명했다.

또한, 이 의원은 의회사무처 인원 80여 명을 기준으로 예산을 나누었을 때 1인당 집행 예산이 약 1,237만 원 수준이라며, 본청과 비교해 예산 집행 비율이 낮은 점을 들어 단순한 수치 비교에 따른 오해 가능성도 언급했다. 그러나 이와 별개로 재정 효율성에 대한 지속적인 검토와 분석이 필요하다는 의견을 피력했다.

한편, 다른 의원들도 기금 운용과 세출 결산에서 불용액 증가 문제를 지적하며, 예산 집행의 꼼꼼한 관리와 수익 극대화를 위한 노력이 요구된다고 강조했다. 이에 집행부는 법정전출금과 실제 사업비의 차이를 설명하고, 불용률 증가 원인에 대해 구체적인 사업별 사례를 제시하며 이해를 구했다.

이번 논의를 통해 지방의회는 재정 운영의 투명성과 효율성 제고를 위한 다각도의 노력이 필요함을 확인했다. 특히 의회사무처의 인건비 비중과 예산 집행 방식에 대한 체계적인 검토와 개선 방안 마련이 앞으로의 과제로 부각되고 있다."
