query_id,category,original_query,task_id,task_name,task_query,top1_id,top1_score,top1_content,top2_id,top2_score,top2_content,top3_id,top3_score,top3_content,top4_id,top4_score,top4_content,top5_id,top5_score,top5_content
42,person,김동욱 의원의 교통안전 문제 제기 내용을 기사로 작성해 달라.,1,김동욱 의원의 교통안전 문제 제기 내용 검색,김동욱 의원 교통안전 문제 제기,,,,,,,,,,,,,,,
44,person,황철규 의원의 청년 정책 관련 논의를 정리해 달라.,1,황철규 의원의 청년 정책 논의 검색,황철규 의원 청년 정책 논의,,,,,,,,,,,,,,,
46,person,아이수루 의원의 대중교통 서비스 개선 논의를 기사화해 달라.,1,아이수루 의원 대중교통 서비스 개선 논의 검색,아이수루 의원 대중교통 서비스 개선 논의,,,,,,,,,,,,,,,
48,person,박강산 의원의 젠트리피케이션 문제 제기를 기사로 작성해 달라.,1,박강산 의원의 젠트리피케이션 문제 제기 내용 검색,박강산 의원 젠트리피케이션 문제 제기,,,,,,,,,,,,,,,
50,person,황유정 의원의 학교 안전 문제 제기를 기사화해 달라.,1,황유정 의원의 학교 안전 문제 제기 내용 검색,황유정 의원 학교 안전 문제 제기,,,,,,,,,,,,,,,
52,person,임규호 의원의 학생 안전·시설 개선 발언을 기사로 작성해 달라.,1,임규호 의원 학생 안전 발언 검색,임규호 의원 학생 안전 발언,,,,,,,,,,,,,,,
52,person,임규호 의원의 학생 안전·시설 개선 발언을 기사로 작성해 달라.,2,임규호 의원 시설 개선 발언 검색,임규호 의원 시설 개선 발언,,,,,,,,,,,,,,,
53,person,서상열 의원의 기후 대응 정책 비판 내용을 정리해 달라.,1,서상열 의원의 기후 대응 정책 비판 내용 검색,서상열 의원 기후 대응 정책 비판,,,,,,,,,,,,,,,
54,person,박강산 의원의 임대료 상승 문제 관련 발언을 기사화해 달라.,1,박강산 의원 임대료 상승 발언 검색,박강산 의원 임대료 상승 문제 발언,,,,,,,,,,,,,,,
55,person,한신 의원의 문화예산 배분 문제 발언을 정리해 달라.,1,한신 의원의 문화예산 배분 발언 검색,한신 의원 문화예산 배분 발언,,,,,,,,,,,,,,,
57,person,이봉준 의원의 재정 효율성 문제 제기를 분석해 달라.,1,이봉준 의원의 재정 효율성 문제 제기 검색,이봉준 의원 재정 효율성 문제 제기,,,,,,,,,,,,,,,
59,person,임미란 의원의 직업계고 관련 문제 제기를 기사화해 달라.,1,임미란 의원의 직업계고 문제 제기 내용 검색,임미란 의원 직업계고 문제 제기,,,,,,,,,,,,,,,
60,person,박강산 의원의 도시계획 관련 논의를 기사로 작성해 달라.,1,박강산 의원의 도시계획 논의 검색,박강산 의원 도시계획 관련 논의,,,,,,,,,,,,,,,
67,party,광주광역시의회 더불어민주당 의원들의 기후 대응 정책 비판 내용을 정리해 달라.,1,광주광역시의회 더불어민주당 의원 기후 대응 정책 비판,광주광역시의회 더불어민주당 의원들의 기후 대응 정책 비판 내용,,,,,,,,,,,,,,,
86,mixed,광주 김동욱 의원과 서울 아이수루 의원의 대중교통 서비스 비판 내용을 비교해 달라.,1,광주 김동욱 의원 대중교통 서비스 비판,광주 김동욱 의원 대중교통 서비스 비판,,,,,,,,,,,,,,,
86,mixed,광주 김동욱 의원과 서울 아이수루 의원의 대중교통 서비스 비판 내용을 비교해 달라.,2,서울 아이수루 의원 대중교통 서비스 비판,서울 아이수루 의원 대중교통 서비스 비판,,,,,,,,,,,,,,,
