query_id,category,original_query,used_segment_ids,article
1,gwangju,광주광역시의회 교육문화 분야에서 제기된 학교 예산 집행 문제를 정리해 달라.,"[127894, 130071, 123484, 127712, 125407]","광주광역시교육청, 학교 예산 집행 문제 점검과 과제 논의

광주광역시의회 교육문화 분야 회의에서 학교 예산 집행과 관련한 다양한 문제점과 개선 과제가 집중적으로 논의되었다. 특히 2022년과 2023년도 교육비특별회계 추가경정예산안 검토 과정에서 집행잔액 발생, 예산 편성의 미흡함, 그리고 예산 집행의 투명성 확보 필요성이 부각되었다.

회의에서는 스마트기기 보급 사업과 관련해 302억 원 규모의 예산이 편성되었으나, 하자관리 및 AS 비용의 구체적 계획 부재와 시급성 문제로 신중한 심사가 요구되었다. 또한, 유치원 학급비 소송 패소에 따른 회수금 반환과 변호사 비용 발생 사례가 보고되면서, 사후 감사보다는 선제적이고 예방적인 감사체계의 중요성이 강조되었다. 학교시설 환경개선 사업비와 무상급식비 등에서 집행잔액이 상당한 규모로 발생한 점도 문제로 지적되었다.

한편, 명시이월과 사고이월의 구분 기준에 대한 질의가 이어지며, 예산의 정확한 집행과 이월 처리의 투명성 확보가 필요하다는 지적이 제기되었다. 특히 예산 집행률이 높음에도 불구하고 명시이월 처리된 사업들에 대해 예산실의 철저한 구분과 설명이 요구되었다. 이와 함께 학교회계 전출금 42억 원 규모에 대한 세부 사용 내역 부재 문제도 도마에 올랐다.

이외에도 늘봄학교 운영 준비 미흡, 원거리 배정 학생 통학 지원 문제, 대안교육기관 예산 집행 공백, 그리고 교복 담합 문제 등 현장 민원과 예산 집행 간 연계된 현안들이 다뤄졌다. 교육청은 시민참여예산제에 청소년 참여 확대 방안 검토와 병원형 위(Wee)센터 추가 설치 등 학생 지원 강화를 위한 노력을 약속했다.

이번 회의를 통해 광주광역시교육청은 학교 예산 집행의 효율성과 투명성을 높이고, 현장의 다양한 요구에 부응하기 위한 체계적이고 선제적인 정책 추진이 필요함을 재확인했다. 앞으로도 의회와의 긴밀한 협력 속에 예산 집행 내역의 명확한 공개와 함께 학생과 학부모 중심의 교육 환경 개선에 주력할 전망이다."
2,gwangju,광주광역시의회에서 재개발 지역 교통 혼잡 문제를 다룬 내용을 기사로 작성해 달라.,"[126805, 127640, 130412, 130414, 124837]","광주광역시 재개발 지역 교통 혼잡 문제, 종합적 대책 마련 필요성 제기

광주광역시의회에서 재개발 지역의 교통 혼잡 문제와 관련한 논의가 활발히 이루어지고 있다. 특히 전·일방 부지 개발과 신세계백화점 확장에 따른 교통량 증가가 예상되면서, 이에 대한 종합적인 교통대책 마련의 필요성이 강조되었다. 안평환 의원은 교통국과 도시공간국 간 긴밀한 협조를 통해 체계적인 대책을 조속히 준비해야 한다고 촉구했다.

교통국 김석웅 국장은 현재 도시공간국과 협력하여 전남·일신방직 부지 개발과 관련한 교통영향평가 및 대책을 검토 중이며, 신안교와 광천1교 등 주요 도로를 포함한 개선 방안을 마련하고 있다고 밝혔다. 다만, 개별 사업 단위별 교통영향평가만으로는 한계가 있어 포괄적인 교통 관리 방안을 고민하고 있음을 전했다. 그는 또한 이번 개발사업이 광주의 미래 교통체계와 직접 연결된다는 점을 강조하며, 초기 단계부터 체계적인 세팅이 중요하다고 덧붙였다.

한편, 광주시는 대중교통 중심의 교통체계 확립을 위해 도시철도공사를 광주교통공사로 변경하는 조례 개정을 추진 중이다. 박수기 의원은 교통공사가 교통 컨트롤타워 역할을 수행할 수 있도록 조례 내용을 보완하고, 전문가와 시민단체가 참여하는 TF팀을 구성해 중장기적 교통기관 통합 방안을 마련할 것을 제안했다. 이에 대해 군공항교통국장 이돈국 국장은 적극 협력하겠다고 답변했다.

또한, 재개발 지역 내 교통약자 이동 편의 확대와 무장애 버스정류장 설치 등 대중교통 환경 개선도 함께 논의되었다. 대중교통과 황인채 과장은 저상버스 도입 확대와 무장애 버스정류장 설치 현황을 설명하며, 교통약자 이용률과 시설 확충 계획을 공유했다. 이와 함께 보행자 친화 도시 조성을 위한 스토리텔링 테마길 조성 사업도 민선 8기 주요 교통정책으로 추진 중임을 밝혔다.

재개발 지역의 교통 혼잡 문제는 단순한 도로 확장이나 개별 사업 차원을 넘어 광주 전체의 미래 교통체계와 연계된 과제로 인식되고 있다. 시의회와 집행부는 긴밀한 협력과 종합적 접근을 바탕으로 교통 혼잡 해소와 시민 편의 증진을 위한 실효성 있는 대책 마련에 힘쓰기로 했다."
3,gwangju,광주광역시의회 환경 관련 회의록 중 미세먼지 대응 논의를 정리해 달라.,"[128580, 122967, 118528, 127629, 125282]","광주광역시의회, 미세먼지 저감 위한 청소 및 친환경차 보급 논의 활발

광주광역시의회 환경복지위원회는 최근 회의에서 미세먼지 저감 대책과 관련한 다양한 논의를 진행했다. 조석호 위원장은 미세먼지 저감 사업의 실효성에 대해 문제를 제기하며, 특히 시민참여예산이 특정 지역에 편중되는 문제와 함께 예산 투입 대비 효과성에 대한 검토가 필요하다고 강조했다. 그는 자동차 배출가스보다 도로 재비산먼지가 미세먼지에 더 큰 영향을 미친다는 타 지자체 사례를 언급하며, 청소 사업이 실제 미세먼지 저감에 얼마나 기여하는지에 대해 집행부의 답변을 요청했다.

이에 대해 기후환경국장 송용수는 도로 재비산먼지가 미세먼지 발생의 주요 원인임을 인정하며, 광주시는 5개 구청에 청소 차량을 배치해 대형 도로를 중심으로 청소를 실시하고 있다고 설명했다. 특히 서구청에서 추진 중인 이면도로 청소는 전기차를 활용해 경유차에서 발생하는 추가 미세먼지 배출을 줄이려는 의도라고 덧붙였다. 이러한 노력은 미세먼지 저감에 실질적인 효과를 기대할 수 있는 방향으로 평가된다.

또한, 광주시는 친환경차 보급 확대와 충전 인프라 구축에도 박차를 가하고 있다. 최지현 위원은 친환경자동차 충전소의 접근성과 안전 문제를 지적하며, 특히 전기차 화재 위험에 대한 우려를 표명했다. 이에 대해 송용수 국장은 현재 정부 차원에서 관련 법안이 마련 중이며, 이를 기반으로 안전성과 충전 인프라 개선에 만전을 기할 계획임을 밝혔다.

한편, 2024년도 기후환경국 주요업무계획 보고에서는 미세먼지 심화 시기 계절관리제와 비상저감조치 등 대기오염물질 관리 강화 방안이 포함됐다. 또한, 저소득층을 대상으로 한 친환경 보일러 지원과 운행차 배출가스 관리 강화도 추진할 예정으로, 광주시는 시민 참여와 행정 협력을 통해 체계적인 미세먼지 저감 정책을 실현해 나가겠다는 의지를 보였다.

이번 광주광역시의회 환경복지위원회의 논의는 미세먼지 문제에 대한 다각적인 접근과 함께 예산의 효율적 집행, 안전한 친환경차 보급, 그리고 시민 참여 활성화를 통한 지속 가능한 환경 정책 추진의 중요성을 재확인하는 계기가 되었다. 앞으로도 실효성 있는 대책 마련과 꼼꼼한 집행이 요구된다."
4,gwangju,광주광역시의회의 청년 일자리 정책 비판 발언을 모아 기사로 작성해 달라.,"[125994, 128287, 127943, 124233, 123291]","광주광역시 청년 일자리 정책, “일자리 우선” 목소리 높아져

광주광역시의회에서 청년 일자리 정책에 대한 비판과 개선 요구가 집중적으로 제기됐다. 특히 청년 일자리 예산 삭감과 정책의 우선순위에 대한 문제점이 도마 위에 올랐다. 의원들은 청년들이 지역에 머무르고 안정적인 생활을 영위하기 위해서는 일자리 창출이 최우선 과제임을 강조했다.

조석호 의원은 최근 청년주도형 일자리 사업 예산이 49억 원 삭감된 점을 지적하며, 청년 월세 지원 예산이 52억 원 증액된 것과 대조를 이루는 상황에 우려를 표했다. 그는 “일자리가 없으면 주거 지원도 무의미하다”며 “청년 정책의 핵심은 일자리 창출에 두어야 한다”고 강조했다. 또한, 광주시가 국비에만 의존하는 현 정책 기조에 문제를 제기하며, 지역 예산을 적극 활용해 청년 일자리 사업을 확대해야 한다고 주장했다.

회의에서는 AI사관학교와 GCC사관학교 등 청년 직업 교육 프로그램의 성과와 한계도 논의됐다. 조 의원은 이들 교육기관 졸업생들이 양질의 일자리를 얻지 못하고 지역을 떠나는 현실을 우려하며, 행정이 이들과 일자리 정책을 긴밀히 연계해 지역 정주 여건을 조성해야 한다고 주문했다. 이에 대해 청년정책 담당 국장은 “궁극적으로 좋은 일자리를 갖도록 지원하는 것이 목표”라며 “의원들의 의견을 유념하여 정책에 반영하겠다”고 답변했다.

한편, 청년 정책 홍보와 소통의 문제도 지적됐다. 홍기월 의원은 청년 정책에 대한 시민과 청년들의 인지도가 낮다고 지적하며, 온라인과 오프라인을 통한 홍보 강화 필요성을 제기했다. 교육청년국장은 청년 정책 플랫폼 구축과 대학 방문 소통 활동 등을 소개하며, 청년들에게 실질적인 정보를 제공하기 위해 노력하고 있다고 밝혔다.

이번 회의는 광주광역시 청년 정책이 단순한 지원 사업을 넘어 실질적인 일자리 창출과 청년 정주 여건 개선에 집중해야 한다는 공감대를 형성했다. 앞으로 예산 배분과 정책 실행 과정에서 이러한 지적들이 어떻게 반영될지 주목된다."
5,gwangju,광주광역시의회의 통학로 안전 문제 제기를 중심으로 주요 쟁점을 정리해 달라.,"[123844, 126132]","광주광역시의회, 통학로 안전 문제와 전기차 화재 대비책 집중 질의

광주광역시의회가 최근 회의에서 지역 내 초등학교 통학로 안전 문제를 집중적으로 다루며, 특히 양산초등학교 주변 통학로의 위험성을 지적했다. 김나윤 의원은 북구청과 학교 간 협의 중인 주차장 부지 활용과 노후 물품 보관창고 문제를 언급하며, 교육청의 적극적인 협조를 요청했다. 해당 창고가 노후되어 사용이 어려운 상황에서 새 건물 건립에 필요한 예산 확보가 과제로 남아있다.

또한, 통학로 안전을 위한 교통정책과 관련해 심창욱 의원은 초등학생 등하굣길 교통안전지킴이 사업의 예산 집행률이 낮은 점을 문제 삼았다. 북구에 배정된 예산이 충분히 활용되지 못하고 있으며, 현재는 저학년 학생 39명만 혜택을 받고 있어, 통학로 전반에 걸친 안전 인력 배치로 예산 효율성을 높일 필요가 있다고 지적했다. 이에 대해 교통국장은 관련 내용을 확인 후 보고하겠다고 답변했다.

전기차 화재 위험성에 관한 질의도 이어졌다. 김나윤 의원은 전기차 화재 시 기존 소화기로는 진압이 어렵고, 교육청 내 전기차 충전시설 관리 및 안전대책 마련이 시급하다고 강조했다. 행정국장은 현재 관련 법안이 검토 중이며, 전기차 화재 대응용 소화기가 사실상 없다는 점을 인정했다. 또한, 전기차 주차 공간 분리 등 안전 관리 방안에 대해서도 검토하겠다는 입장을 밝혔다.

이번 회의에서는 통학로 안전 확보를 위한 학교와 지자체, 교육청 간 협력 강화가 필요하다는 점과 함께, 전기차 안전 문제에 대한 선제적 대응의 중요성이 부각되었다. 향후 관련 부서들은 실질적인 예산 집행과 안전 대책 마련에 더욱 힘써야 할 것으로 보인다."
6,gwangju,광주광역시의회 예산결산특별위원회의 예산 집행 부실 문제를 기사로 작성해 달라.,"[129085, 126924, 121783, 121872, 124984]","광주광역시 예산결산특별위원회, 예산 집행 부실 문제 지적과 개선 촉구

광주광역시의회 예산결산특별위원회는 최근 열린 회의에서 광주시의 예산 집행과 관련된 부실 문제를 집중적으로 검토하며, 재정 건전성 확보와 예산 집행의 효율성 제고를 위한 개선책 마련을 촉구했다. 특히, 예산 이월과 보조금 반환금 증가, 지방채 급증 등 재정 운용의 문제점들이 지적되면서 예산 사장 방지를 위한 각별한 노력이 필요하다는 목소리가 높았다.

검토보고를 맡은 전문위원은 올해 명시이월 예산이 평소의 1600억 원 수준을 크게 상회하는 5477억 원에 달했다고 밝혔다. 이는 도시철도 2호선 2단계 착공지연에 따른 특별회계 증가가 주된 원인이지만, 일반회계에서도 이월 예산이 늘어난 점이 우려스럽다고 진단했다. 또한, 자치구에 지원한 보조금의 잔액 반환금이 매년 증가 추세에 있으며, 민간단체 보조금까지 합하면 520억 원에 이르는 점을 들어 보다 면밀한 예산 추계와 집행 관리가 필요하다고 강조했다.

예산 편성 과정에서도 일부 행사성 경비가 적기에 반영되지 못하고 정리추경에 뒤늦게 반영되는 사례가 있었으며, 신규사업 추진 시 사전 절차 미이행과 환경·안전 문제 검토 부족으로 예산이 감액되거나 사업이 취소되는 문제도 드러났다. 지방채 규모는 3년 사이 5천억 원이 늘어나 1조 5천억 원에 달하고, 이자 부담 역시 연간 최소 125억 원 이상으로 증가해 재정 부담이 가중되고 있다. 이에 대해 전문위원은 세출 구조조정과 세입 확충을 통한 재정 건전성 확보가 시급하다고 지적했다.

행정부시장과 집행부는 경기 침체와 세수 감소 등 어려운 재정 여건 속에서도 법정·의무적 경비와 핵심 사업에 최소한의 예산을 반영하기 위해 노력해 왔다고 설명했다. 그러나 예산 집행의 적시성과 효율성 제고, 보조금 관리 강화, 지방채 관리의 신중함 등은 앞으로도 지속적으로 개선해 나가겠다는 입장을 밝혔다.

광주시의회 예산결산특별위원회는 이번 회의를 통해 예산 집행 부실 문제를 명확히 인식하고, 향후 예산 편성 및 집행 과정에서 보다 철저한 관리와 점검을 요구했다. 이를 통해 시민에게 투명하고 책임 있는 재정 운영을 보장하고, 광주의 지속 가능한 발전 기반을 마련하는 데 힘쓸 것을 당부했다."
7,gwangju,광주광역시의회의 복지시설 인력 부족 문제 제기 내용을 분석해 달라.,"[122990, 129876, 123022, 130322, 118371]","광주광역시 복지시설 인력 부족 문제, 의원들 집중 질의와 개선 요구

광주광역시의회에서 복지시설 인력 부족과 관련한 문제점이 집중적으로 제기되었다. 박미정 의원은 고독사 위험군 전수조사 결과와 관련해, 4만 8천여 명의 위험군 중 고위험군만 783명에 달하는 상황에서 이를 전문적으로 관리할 인력이 부족하다고 지적했다. 복지건강국은 고독사 예방사업이 여러 부서가 협력해야 하는 복합적 업무임을 인정하면서도 현재 전문 인력은 없고, 담당 공무원이 교육을 통해 사업을 추진 중임을 밝혔다. 이에 대해 박 의원은 전문성 강화와 구체적인 통합돌봄 연계 방안 마련을 촉구했다.

또한, 사회복지시설 종사자들의 처우 문제도 도마에 올랐다. 최지현 의원은 최근 광주시가 장애인복지시설 신규 채용 시 호봉 제한을 권고하는 공문을 각 자치구에 보냈다는 의혹을 제기하며, 이는 근로기준법 위반 가능성이 있어 명확한 사실 확인과 절차 검토가 필요하다고 강조했다. 장애인복지과는 예산 건전성 도모 차원에서 권고한 것이라 답변했으나, 구체적 협의 과정과 법적 적합성에 대한 추가 검토가 요구되고 있다. 복지건강국은 내년 처우개선계획 수립 시 현장과 협의하여 합의점을 도출하겠다고 밝혔다.

한편, 복지건강국은 2022년 주요 업무 추진상황 보고에서 사회복지시설 종사자 교육 강화, 처우 개선, 그리고 복지서비스 확대를 위한 다양한 정책을 추진 중임을 밝혔다. 그러나 의원들은 인력 충원과 전문성 확보가 시급하며, 특히 고독사 예방과 은둔형 외톨이 지원 등 복지 사각지대 해소를 위해서는 보다 체계적이고 전문적인 인력 배치가 필요하다고 입을 모았다.

이와 함께, 복지시설 운영과 관련한 예산 집행의 효율성 문제도 논의되었다. 일부 자치구가 치매전담 노인요양시설 기능보강 사업을 포기한 사례가 소개되었는데, 이는 국비 지원 기준과 실제 운영비 부담 간 괴리에서 비롯된 것으로 파악되었다. 이에 대해 복지건강국은 장기적으로 공립요양시설 확충 필요성을 인정하며, 국가와의 협력을 통해 지속 가능한 운영 방안을 모색하겠다고 밝혔다.

이번 광주광역시의회 복지건강국 업무 질의에서는 복지시설 인력 부족과 전문성 강화, 예산 집행의 현실성, 그리고 복지서비스의 통합적 운영 방안 마련이 핵심 과제로 부상했다. 의원들과 집행부는 현장 목소리를 반영한 실질적 개선책 마련에 뜻을 모으고 있어, 앞으로의 후속 조치가 주목된다."
8,gwangju,광주광역시의회에서 CCTV 설치·운영 개선 논의가 이루어진 내용을 정리해 달라.,"[127037, 124471, 121728, 129940, 129200]","광주광역시의회, CCTV 설치·운영 개선 및 교통안전 대책 논의

광주광역시의회에서는 최근 CCTV 설치 및 운영 개선과 관련한 논의가 이루어졌다. 자치경찰위원회에서는 서구 지역을 중심으로 CCTV와 보안등 설치 개선안을 마련해 지자체와 협력하여 문제를 해결하고 있으나, 보다 나은 방안을 모색하고자 하는 의지가 확인됐다. 이에 따라 5개 자치구를 순차적으로 돌아가며 모니터링단 운영을 확대할 계획임을 밝혔다.

한편, 교통안전과 관련하여 김용임 의원은 화순 넘어가는 길 선교지구 인근 노인보호구역에 단속 카메라 설치가 필요하다고 지적했다. 기존에 방지턱 설치와 과속 단속 장치가 일부 마련되었으나, 예산 부족으로 카메라 설치가 미뤄진 상황이다. 이에 대해 교통운영과장은 경찰청과 협의하여 하반기에 현장을 재점검하고 적극 검토하겠다는 입장을 밝혔다. 김 의원은 안전사고 예방 차원에서 조속한 설치를 요청했다.

또한, 광주경제자유구역청 관련 논의에서는 지주간판 설치 예산 문제와 관련해, 초기 개청 시 설치가 누락된 점을 인정하며 추경 예산을 통해 조속히 설치할 계획임이 보고되었다. 이와 함께 광주시는 시민과의 소통을 강화하고, 민원인들의 편의를 위한 시설 개선에 노력하고 있음을 강조했다.

이번 회의에서는 CCTV 설치와 운영의 지속적인 개선과 함께 교통안전 강화를 위한 단속 카메라 설치 필요성이 재확인되었으며, 예산과 협력 문제 해결을 위한 집행부의 적극적인 대응 의지도 확인됐다. 향후 자치구별 모니터링 확대와 경찰청과의 협력 강화, 그리고 시민 안전을 위한 시설 확충이 중요한 과제로 남아 있다."
9,gwangju,광주광역시의회에서 공공임대주택 공급 부족 문제를 다룬 내용을 기사화해 달라.,"[125322, 129974, 127852, 124134, 126791]","광주광역시 공공임대주택 공급 부족과 주거지원 현황 점검

광주광역시의회는 최근 열린 회의에서 공공임대주택 공급 부족 문제와 관련한 현황과 대책을 집중적으로 논의했다. 특히 광주형 일자리(GGM) 근로자들의 주거 지원 문제에 대한 의원들의 질의가 이어졌으며, 집행부는 현황 설명과 함께 향후 추진 계획을 밝혔다.

회의에서 강수훈 의원은 GGM 근로자 대상 공공임대주택 공급 현황과 관리비 지원 문제를 상세히 질의했다. 현재 확보된 임대주택 232호 중 96호만 입주했으며, 나머지 물량은 거리 문제 등으로 입주 희망자가 적어 공실이 발생하고 있다. 이에 따라 올해 1년간 약 8천만 원 규모의 공가 관리비가 발생하고 있어 도시공사와 LH가 부담에 어려움을 겪고 있다고 집행부는 설명했다. 또한, 2027년부터 300호 규모의 일자리연계형 전략주택 건립 사업이 추진되어 근로자 주거 안정에 긍정적 영향을 미칠 것으로 전망했다.

한편, 광주형 통합공공임대주택 사업과 관련해서는 차량 소유자 입주 제한 가능성에 대한 논의도 있었다. 집행부는 아직 구체적인 입주자 선정 기준이 확정되지 않았으며, 법적 검토와 주변 의견 수렴을 거쳐 결정할 예정이라고 밝혔다. 이와 함께, 청년 주거 지원을 위한 전세 보증금 반환 보증료 지원 사업의 대상과 소득 기준에 대한 의원들의 우려도 제기됐다. 집행부는 무주택 청년들의 주거 안전망 확대를 목표로 하되, 지원 대상에 대한 세부 기준을 재검토하겠다고 답변했다.

이 밖에도 노후 공공임대주택 그린리모델링 사업과 주거복지센터 운영 등 주거환경 개선을 위한 다양한 사업들이 추진 중임을 보고했다. 그러나 공공임대주택 공급과 관리비 지원의 현실적 어려움, 근로자 주거 지원의 시급성, 그리고 정책 추진 과정에서의 법적·사회적 검토 필요성 등이 향후 과제로 남아 있다. 광주광역시의회는 이러한 문제들을 지속적으로 점검하며 시민 주거 복지 향상을 위한 정책 개선을 요구하고 있다."
10,gwangju,광주광역시의회 교통 분야에서 시내버스 배차 문제를 다룬 발언을 정리해 달라.,"[122279, 129955, 123568, 127970, 125004]","광주광역시의회, 시내버스 배차 및 농어촌 버스 문제 집중 논의

광주광역시의회 교통 분야에서는 최근 시내버스 배차 문제와 농어촌 버스 운영 적자에 대한 심도 있는 논의가 이루어졌다. 심철의 의원은 담양 보궐선거 현수막에 등장한 농어촌 버스 333번 사례를 언급하며, 광주시의 시내버스 준공영제 운영 적자가 연간 1500억 원 이상 발생하는 상황에서 농어촌 버스 제도 정비의 필요성을 강조했다. 특히 농어촌 버스가 광주의 주요 노선을 점유해 수익을 전라남도 지역으로 이전시키고, 이로 인해 광주시내버스 적자가 누적되는 문제와 교통 혼잡 유발 문제를 지적하며, 교통국이 법률적 검토를 포함한 면밀한 용역과 대안을 마련할 필요가 있다고 주문했다.

이에 대해 통합공항교통국장 김영선은 농어촌 버스 관련 민원이 오래된 숙원사업임을 인정하면서도, 인접 시·군과의 갈등 및 소송 사례 등으로 인해 해결에 한계가 있음을 설명했다. 다만 의원의 제안에 따라 보다 깊이 있는 검토와 법률 자문을 통한 대응 방안을 마련하겠다고 답변했다. 이처럼 농어촌 버스 문제는 광주시내버스 적자와 직결된 사안으로, 실질적 개선책 마련이 시급한 과제로 떠올랐다.

또한, 이귀순 의원은 대중교통 데이터 관리의 중요성을 강조하며, 현재 광주시 버스 하차 태그 이용률이 32%에 불과한 점을 지적했다. 그는 대중교통 전면 개편을 앞두고 하차 태그 의무 도입과 관련 시스템 개발을 적극 검토할 것을 촉구했다. 이에 교통국장 김석웅은 서울 등 타 도시 사례를 참고해 페널티 부과 등 방안을 검토하겠다고 밝혔다. 정확한 이용 데이터 확보는 향후 대중교통 효율성 제고와 배차 개선에 필수적인 요소로 인식되고 있다.

이처럼 광주광역시의회는 시내버스 배차 문제와 농어촌 버스 운영 적자, 그리고 대중교통 데이터 관리 강화 등 다양한 교통 현안에 대해 집행부와 함께 해결책을 모색하고 있다. 향후 교통국은 법률적 검토를 포함한 농어촌 버스 제도 개선 용역과 함께, 데이터 기반의 대중교통 체계 개편을 위한 구체적 계획을 의회에 보고할 예정이다. 시민 불편 해소와 재정 건전성 확보를 위한 지속적인 논의가 기대된다."
